id,label
1,0.9999758005142212
10,3.2522325454920065e-06
100,0.0001031001447699964
1000,0.9999822378158569
10000,0.9939050078392029
10001,0.005913316272199154
10002,1.0628624647068818e-09
10003,0.9868898391723633
10004,0.9950723052024841
10005,6.906241800663793e-09
10006,2.3104769833470762e-11
10007,0.0006341701955534518
10008,1.2164281137927446e-08
10009,1.7327462842331443e-07
1001,2.294557589266333e-06
10010,0.9999980926513672
10011,0.9995272159576416
10012,1.0768123814841601e-07
10013,4.944646434523747e-07
10014,4.368087957118405e-06
10015,1.0
10016,0.011242588050663471
10017,1.6646391713948105e-06
10018,1.3043624846886814e-08
10019,2.2270416621950062e-08
1002,0.9999157190322876
10020,4.064260338054737e-06
10021,2.184294487506122e-07
10022,1.0
10023,0.9999982118606567
10024,0.9999997615814209
10025,0.5728219747543335
10026,0.9995429515838623
10027,0.9999783039093018
10028,1.6503151067936983e-09
10029,0.9992774128913879
1003,1.0
10030,1.0
10031,2.4726741685299203e-06
10032,0.005658612120896578
10033,3.467020519565267e-07
10034,0.9999947547912598
10035,0.9999687671661377
10036,0.9999997615814209
10037,0.12650208175182343
10038,1.0
10039,1.0
1004,0.9981813430786133
10040,6.015429582402476e-13
10041,1.0
10042,0.976823091506958
10043,1.0
10044,3.4521890901473284e-10
10045,0.999993085861206
10046,0.9994427561759949
10047,0.9999992847442627
10048,1.0
10049,2.0042277171228307e-08
1005,4.0076835183811e-09
10050,0.2209457904100418
10051,0.6774193048477173
10052,2.568939635239076e-05
10053,1.0
10054,0.2684600055217743
10055,4.08093434600687e-08
10056,1.0
10057,0.046700555831193924
10058,0.9999947547912598
10059,0.9814062118530273
1006,1.0
10060,0.9988664388656616
10061,0.6807357668876648
10062,1.5332567437909006e-09
10063,0.9999074935913086
10064,0.9997020363807678
10065,5.439143933472224e-06
10066,3.09123752231244e-05
10067,2.765123463532859e-09
10068,3.223534861263033e-08
10069,1.8546297724242322e-05
1007,0.9999938011169434
10070,0.9999994039535522
10071,2.1230071034494813e-09
10072,2.710223816393409e-05
10073,0.822052001953125
10074,3.6281626574624637e-12
