id,label
1,0.9875
10,0.0125
100,0.0125
1000,0.9875
10000,0.9875
10001,0.0125
10002,0.0125
10003,0.9875
10004,0.9875
10005,0.0125
10006,0.0125
10007,0.0125
10008,0.0125
10009,0.0125
1001,0.0125
10010,0.9875
10011,0.9875
10012,0.0125
10013,0.0125
10014,0.0125
10015,0.9875
10016,0.0125
10017,0.0125
10018,0.0125
10019,0.0125
1002,0.9875
10020,0.0125
10021,0.0125
10022,0.9875
10023,0.9875
10024,0.9875
10025,0.9875
10026,0.9875
10027,0.9875
10028,0.0125
10029,0.9875
1003,0.9875
10030,0.9875
10031,0.0125
10032,0.0125
10033,0.0125
10034,0.9875
10035,0.9875
10036,0.9875
10037,0.0125
10038,0.9875
10039,0.9875
1004,0.9875
10040,0.0125
10041,0.9875
10042,0.9874294400215149
10043,0.9875
10044,0.0125
10045,0.9875
10046,0.9875
10047,0.9875
10048,0.9875
10049,0.0125
1005,0.0125
10050,0.0125
10051,0.0125
10052,0.0125
10053,0.9875
10054,0.0125
10055,0.0125
10056,0.9875
10057,0.0125
10058,0.9875
10059,0.9875
1006,0.9875
10060,0.9875
10061,0.0125
10062,0.0125
10063,0.9875
10064,0.9875
10065,0.0125
10066,0.0125
10067,0.0125
10068,0.0125
10069,0.0125
1007,0.9875
10070,0.9875
10071,0.0125
10072,0.0125
10073,0.9764934778213501
10074,0.0125
10075,0.0125
10076,0.0125
10077,0.0125
10078,0.9875
10079,0.0125
1008,0.0125
10080,0.9875
10081,0.0125
10082,0.0125
10083,0.0125
10084,0.9875
10085,0.9875
10086,0.9875
10087,0.9875
10088,0.0125
10089,0.0125
1009,0.9875
10090,0.0125
10091,0.0125
10092,0.9875
10093,0.0125
10094,0.9875
10095,0.0125
10096,0.9875
10097,0.9875
10098,0.9875
10099,0.0125
101,0.0125
1010,0.9875
10100,0.9875
10101,0.9875
10102,0.0125
10103,0.0125
10104,0.9875
10105,0.9875
10106,0.0125
10107,0.0125
10108,0.9875
10109,0.0125
1011,0.0125
10110,0.9875
10111,0.0125
10112,0.0125
10113,0.9875
10114,0.0125
10115,0.0125
10116,0.9875
10117,0.0125
10118,0.0125
10119,0.9875
1012,0.9875
10120,0.0125
10121,0.0125
10122,0.0125
10123,0.0125
10124,0.9875
10125,0.0125
10126,0.0125
10127,0.9875
10128,0.0125
10129,0.9875
1013,0.0125
10130,0.0125
10131,0.9875
10132,0.0125
10133,0.0125
10134,0.9875
10135,0.9875
10136,0.9875
10137,0.0125
10138,0.9875
10139,0.9875
1014,0.9875
10140,0.9875
10141,0.9875
10142,0.9875
10143,0.9875
10144,0.9875
10145,0.0125
10146,0.9875
10147,0.9875
10148,0.9875
10149,0.0125
1015,0.0125
10150,0.0125
10151,0.0125
10152,0.0125
10153,0.9875
10154,0.0125
10155,0.9875
10156,0.0125
10157,0.0125
10158,0.0125
10159,0.9875
1016,0.9107058644294739
10160,0.0125
10161,0.0125
10162,0.9875
10163,0.9875
10164,0.9875
10165,0.9875
10166,0.9875
10167,0.9875
10168,0.9875
10169,0.9875
1017,0.0125
10170,0.0125
10171,0.0125
10172,0.9875
10173,0.0125
10174,0.0125
10175,0.0125
10176,0.9875
10177,0.9875
10178,0.0125
10179,0.9875
1018,0.9875
10180,0.0125
10181,0.9875
10182,0.0125
10183,0.0125
10184,0.0125
10185,0.9875
10186,0.9875
10187,0.9875
10188,0.0125
10189,0.9875
1019,0.9875
10190,0.9875
10191,0.0125
10192,0.9875
10193,0.0125
10194,0.0125
10195,0.9875
10196,0.9875
10197,0.9875
10198,0.0125
10199,0.0125
102,0.9875
1020,0.0125
10200,0.0125
10201,0.0125
10202,0.9875
10203,0.9875
10204,0.0125
10205,0.0125
10206,0.0125
10207,0.9875
10208,0.9875
10209,0.9875
1021,0.9063233137130737
10210,0.0125
10211,0.0125
10212,0.0125
10213,0.9875
10214,0.9875
10215,0.0125
10216,0.9875
10217,0.9875
10218,0.0125
10219,0.0125
1022,0.0125
10220,0.9875
10221,0.9875
10222,0.9875
10223,0.0125
10224,0.0125
10225,0.0125
10226,0.0125
10227,0.0125
10228,0.0125
10229,0.0125
1023,0.0125
10230,0.08580473810434341
10231,0.9875
10232,0.9875
10233,0.9875
10234,0.0125
10235,0.0125
10236,0.0125
10237,0.0125
10238,0.9875
10239,0.0125
1024,0.0125
10240,0.0125
10241,0.9875
10242,0.9875
10243,0.9875
10244,0.9875
10245,0.9875
10246,0.9598467946052551
10247,0.9875
10248,0.0125
10249,0.9875
1025,0.0125
10250,0.0125
10251,0.9875
10252,0.0125
10253,0.9875
10254,0.9875
10255,0.9875
10256,0.9875
10257,0.0125
10258,0.9875
10259,0.9875
1026,0.0125
10260,0.0125
10261,0.9875
10262,0.9875
10263,0.9875
10264,0.0125
10265,0.0125
10266,0.0125
10267,0.0125
10268,0.9875
10269,0.9875
1027,0.0125
10270,0.0125
10271,0.9875
10272,0.0125
10273,0.0125
10274,0.0125
10275,0.9875
10276,0.0125
10277,0.7870775461196899
10278,0.0125
10279,0.9875
1028,0.0125
10280,0.9875
10281,0.9875
10282,0.9875
10283,0.9875
10284,0.9875
10285,0.9875
10286,0.0125
10287,0.0125
10288,0.0125
10289,0.0125
1029,0.0125
10290,0.9875
10291,0.9875
10292,0.0125
10293,0.9875
10294,0.0125
10295,0.0125
10296,0.0125
10297,0.9875
10298,0.9875
10299,0.022409051656723022
103,0.0125
1030,0.0125
10300,0.9875
10301,0.0125
10302,0.9875
10303,0.0125
10304,0.9875
10305,0.9875
10306,0.9875
10307,0.9875
10308,0.0125
10309,0.0125
1031,0.0125
10310,0.017949558794498444
10311,0.0125
10312,0.0125
10313,0.9875
10314,0.0125
10315,0.9875
10316,0.9875
10317,0.9875
10318,0.0125
10319,0.03585054352879524
1032,0.9875
10320,0.9875
10321,0.9875
10322,0.9875
10323,0.9875
10324,0.9875
10325,0.0125
10326,0.9875
10327,0.9277076125144958
10328,0.0125
10329,0.9875
1033,0.9875
10330,0.0125
10331,0.0125
10332,0.9875
10333,0.0125
10334,0.0125
10335,0.9875
10336,0.0125
10337,0.0125
10338,0.0125
10339,0.9875
1034,0.9875
10340,0.0125
10341,0.0125
10342,0.9875
10343,0.0125
10344,0.9875
10345,0.9875
10346,0.0125
10347,0.0125
10348,0.9875
10349,0.9875
1035,0.0125
10350,0.9875
10351,0.0125
10352,0.9875
10353,0.0125
10354,0.9875
10355,0.9875
10356,0.0125
10357,0.9875
10358,0.0125
10359,0.9875
1036,0.9875
10360,0.0125
10361,0.0125
10362,0.0125
10363,0.0125
10364,0.9875
10365,0.0125
10366,0.9875
10367,0.9875
10368,0.9875
10369,0.0125
1037,0.9875
10370,0.9875
10371,0.0125
10372,0.9875
10373,0.0125
10374,0.9875
10375,0.0125
10376,0.0125
10377,0.0125
10378,0.0125
10379,0.9875
1038,0.9875
10380,0.9875
10381,0.0125
10382,0.0125
10383,0.0125
10384,0.9875
10385,0.9875
10386,0.0125
10387,0.9875
10388,0.0125
10389,0.0125
1039,0.0125
10390,0.9875
10391,0.0125
10392,0.0125
10393,0.0125
10394,0.0125
10395,0.9875
10396,0.9875
